url,short_url,favicon,meta_data,url_split_count,name_server_count,status_count,domain_time,activeDuration,domain_name_count,domain_name_len
http://tools.ietf.org/html/rfc991,1,1,10,3,6,3,0,9381,1,8
http://d2set.free.fr/en/projects/site/RebolSiteBuilder/Rebol.html,0,0,11,4,2,2,0,7916,1,7
http://aeroclub.ua/upload/aol/index.html,0,0,6,3,3,2,0,4505,1,11
http://www.microsoft.com/presspass/exec/billg/,0,1,5,3,8,12,0,10790,2,31
http://www.mactech.com/articles/mactech/Vol.11/11.07/PrographApp/,1,1,3,6,4,8,0,9279,1,11
http://www.backstagesalonandspa.com/wp-ami/index.html,1,0,0,3,2,8,0,6739,2,1
http://tools.ietf.org/html/rfc213,1,1,7,3,6,3,0,9381,1,8
http://habbodragaodefogo.rel7.com/,0,0,0,3,4,2,0,746,2,13
http://xyqx168.com/images/?app=com-d3&amp;http:/us.battle.net/login/en/?ref=http:/tbaoletus.battle.net/d3/en/index,0,0,1,6,2,1,0,391,1,11
http://www.weonlydo.com/index.asp?related=Mail,1,1,5,4,2,1,0,6933,1,12
http://www.faqs.org/faqs/sgi/faq/admin,1,0,3,3,4,1,0,8650,1,8
http://login.77865.maxkz.com/8817870d617fd49300eb69a64a8881cf/login.html,0,0,3,5,4,2,0,47,1,9
http://www.geocities.com/SiliconValley/Lab/7378/fischer.html,0,0,0,4,10,12,0,9102,2,31
http://pastehtml.com/view/b2i243gkw.html,1,1,14,3,4,2,0,4311,1,13
http://sourceforge.net/projects/froofyjit/,1,0,20,2,4,8,0,7770,2,1
http://www.angelfire.com/tx4/PolkLonghorns/,0,-1,6,3,8,8,0,8067,2,25
http://www.freewebs.com/aylesburyscrabble/index.htm,1,-1,5,4,2,2,0,7462,2,1
http://www.freewebs.com/ryanrules2/,1,0,1,3,2,2,0,7462,2,1
http://www.ireland-information.com/freecelticfonts.html,1,0,11,4,2,1,0,8251,1,23
