url,short_url,sub_domain,favicon,ip,href_count,state_code,url_length,ssl,page_redirect,meta_data,url_split_count,url_at_sign,dash_count,url_rank,email_count,name_server_count,status_count,domain_time,activeDuration,domain_name_count,domain_name_len
http://tools.ietf.org/html/rfc991,1,1,1,1084908074,245,0,34,0,0,10,3,0,0,11360,0,6,3,0,9381,1,8
http://d2set.free.fr/en/projects/site/RebolSiteBuilder/Rebol.html,0,1,0,3558555521,10,0,65,1,0,11,4,0,0,10000000,3,2,2,0,7916,1,7
http://aeroclub.ua/upload/aol/index.html,0,1,0,1297597019,21,1,40,1,0,6,3,0,0,10000000,-1,3,2,0,4505,1,11
http://www.microsoft.com/presspass/exec/billg/,0,1,1,399773160,111,1,46,0,0,5,3,0,0,21,4,8,12,0,10790,2,31
http://www.mactech.com/articles/mactech/Vol.11/11.07/PrographApp/,1,1,1,758668893,155,0,80,1,0,3,6,0,0,503055,0,4,8,0,9279,1,11
http://www.backstagesalonandspa.com/wp-ami/index.html,1,1,0,575363161,0,1,49,0,0,0,3,0,1,10000000,0,2,8,0,6739,2,1
http://tools.ietf.org/html/rfc213,1,1,1,1084908074,5,0,34,0,0,7,3,0,0,11360,0,6,3,0,9381,1,8
http://habbodragaodefogo.rel7.com/,0,1,0,1075841094,0,0,34,1,0,0,3,0,0,10000000,2,4,2,0,746,2,13
http://xyqx168.com/images/?app=com-d3&amp;http:/us.battle.net/login/en/?ref=http:/tbaoletus.battle.net/d3/en/index,0,1,0,2633832596,0,0,114,1,0,1,6,0,1,10000000,0,2,1,0,391,1,11
http://www.weonlydo.com/index.asp?related=Mail,1,1,1,1535568852,130,0,47,0,0,5,4,0,0,3021019,0,2,1,0,6933,1,12
http://www.faqs.org/faqs/sgi/faq/admin,1,1,0,3353846852,113,0,39,1,0,3,3,0,0,217354,0,4,1,0,8650,1,8
http://login.77865.maxkz.com/8817870d617fd49300eb69a64a8881cf/login.html,0,1,0,3342594713,0,0,72,1,0,3,5,0,0,10000000,2,4,2,0,47,1,9
http://www.geocities.com/SiliconValley/Lab/7378/fischer.html,0,1,0,1653283984,0,1,60,0,0,0,4,0,0,134098,3,10,12,0,9102,2,31
http://pastehtml.com/view/b2i243gkw.html,1,1,1,2542501898,5,0,41,0,0,14,3,0,0,1378030,2,4,2,0,4311,1,13
http://sourceforge.net/projects/froofyjit/,1,1,0,3630769677,258,0,43,0,0,20,2,0,0,474,0,4,8,0,7770,2,1
http://www.angelfire.com/tx4/PolkLonghorns/,0,1,-1,3519740969,5,0,43,1,0,6,3,0,0,18233,2,8,8,0,8067,2,25
http://www.freewebs.com/aylesburyscrabble/index.htm,1,1,-1,1745902310,21,1,52,0,0,5,4,0,0,130380,0,2,2,0,7462,2,1
http://www.freewebs.com/ryanrules2/,1,1,0,1745902310,1,1,36,0,0,1,3,0,0,130380,0,2,2,0,7462,2,1
http://www.ireland-information.com/freecelticfonts.html,1,1,0,1755883497,137,0,44,0,0,11,4,0,1,1358992,0,2,1,0,8251,1,23
